date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:24	190/190	---M--	200	added ('OK')	image/png	etag:%226eae18b37734bdd476c2719148e6e33a%22	http://cdn2.editmysite.com/images/common/blog/dark-blog-comment-link.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/common/blog/dark-blog-comment-link.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:24	533775/533775	---M-Z	200	added ('OK')	application/javascript	etag:%22626c18b7-8250f%22	http://cdn2.editmysite.com/js/site/main-customer-accounts-site.js?buildTime=1596476304	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/js/site/main-customer-accounts-site7c39.js	(from https://proquipenterprises.weebly.com/)
23:42:25	1097/1097	---M--	200	added ('OK')	image/gif	etag:%22a45c2acfc6ee89b5227a8424ca1e9666%22	http://cdn2.editmysite.com/images/util/general/blank.gif	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/general/blank.gif	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:25	371/371	---M--	200	added ('OK')	image/gif	etag:%22d935f4acf56e0b83218bbdb5835e4e23%22	http://cdn2.editmysite.com/images/common/lightbox/prevlabel.gif	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/common/lightbox/prevlabel.gif	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:25	354/354	---M--	200	added ('OK')	image/gif	etag:%22485d89b62f7af7f0ce9427bb9a636e7e%22	http://cdn2.editmysite.com/images/common/lightbox/nextlabel.gif	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/common/lightbox/nextlabel.gif	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:25	1050/1050	---M--	200	added ('OK')	image/png	etag:%2262794858-41a%22	http://cdn2.editmysite.com/sprites/util/inputs/checkmarkBox-s7868418152.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/sprites/util/inputs/checkmarkBox-s7868418152.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:26	1809/1809	---M--	200	added ('OK')	image/png	etag:%22626bf7b6-711%22	http://cdn2.editmysite.com/sprites/util/inputs/checkmarkBox/@2x-s211a47d318.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/sprites/util/inputs/checkmarkBox/@2x-s211a47d318.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:26	2705/2705	---M--	200	added ('OK')	image/jpeg	etag:%22e8ea7fcf86cd3b4ed9a7697a20054c68%22	http://cdn2.editmysite.com/images/util/inputs/search-input-bg.jpg	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/inputs/search-input-bg.jpg	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:26	1651/1651	---M--	200	added ('OK')	image/png	etag:%224ef74bd17d24ca2f9d5a5fad76b25960%22	http://cdn2.editmysite.com/images/common/magnifying-glass.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/common/magnifying-glass.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:26	1339/1339	---M--	200	added ('OK')	image/png	etag:%227f208cd1cc918ae5088070461c4a1b65%22	http://cdn2.editmysite.com/images/common/checkmarks/checkmark-mini.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/common/checkmarks/checkmark-mini.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
